id,name,applicability
DDV_V_9_5_SO,Vstopni DDV 9.5% - SO,taxes
DDV_I_9_5_SO,Izstopni DDV 9.5% - SO,taxes
DDV_V_9_5_sam,Vstopni DDV 9.5% - samoobdavčitev,taxes
DDV_V_22_SO,Vstopni DDV 22% - SO,taxes
DDV_I_22_SO,Izstopni DDV 22% - SO,taxes
DDV_V_22_sam,Vstopni DDV 22% - samoobdavčitev,taxes
P_SLO_B_22,Prodaja SLO 22% - bruto,taxes
P_SLO_N_22,Prodaja SLO 22% - neto,taxes
P_SLO_B_9_5,"Prodaja SLO 9,5% - bruto",taxes
P_SLO_N_9_5,"Prodaja SLO 9,5% - neto",taxes
N_SLO_B_22,Nabava SLO 22% - bruto,taxes
N_SLO_N_22,Nabava SLO 22% - neto,taxes
N_SLO_B_9_5,"Nabava SLO 9,5% - bruto",taxes
N_SLO_N_9_5,"Nabava SLO 9,5% - neto",taxes
N_EU_B_22,Nabava EU 22% - bruto,taxes
N_EU_B_22_IN,Nabava EU 22% - bruto – vstopni,taxes
N_EU_B_22_OUT,Nabava EU 22% - bruto – izstopni,taxes
N_EU_N_22,Nabava EU 22% - neto,taxes
N_EU_N_22_IN,Nabava EU 22% - neto – vstopni,taxes
N_EU_N_22_OUT,Nabava EU 22% - neto – izstopni,taxes
N_EU_B_9_5,"Nabava EU 9,5% - bruto",taxes
N_EU_B_9_5_IN,"Nabava EU 9,5% - bruto – vstopni",taxes
N_EU_B_9_5_OUT,"Nabava EU 9,5% - bruto – izstopni",taxes
N_EU_N_9_5,"Nabava EU 9,5% - neto",taxes
N_EU_N_9_5_IN,"Nabava EU 9,5% - neto – vstopni",taxes
N_EU_N_9_5_OUT,"Nabava EU 9,5% - neto – izstopni",taxes
NS_0,Neobdavčen promet – izstopni,taxes
NN_0,Neobdavčen promet – vstopni,taxes
